Date&Time (UTC),Dry bulb temperature (deg. C), Global horizontal irradiance (W/m2) ,Direct (beam) normal Irradiance (W/m2),Diffuse horizontal irradiance (W/m2), Infrared radiation downwards (W/m2),  Windspeed (m/s)
06/01/2012 19:00:00,3.49,0.00,-0.00,0.00,263.72,2.37
06/01/2012 20:00:00,3.39,0.00,-0.00,0.00,258.65,2.61
06/01/2012 21:00:00,4.04,0.00,-0.00,0.00,264.52,3.20
06/01/2012 22:00:00,4.69,0.00,-0.00,0.00,270.38,3.80
06/01/2012 23:00:00,5.33,0.00,-0.00,0.00,276.25,4.40
07/01/2012 00:00:00,5.95,0.00,-0.00,0.00,289.23,4.80
07/01/2012 01:00:00,6.57,0.00,-0.00,0.00,302.22,5.20
07/01/2012 02:00:00,7.19,0.00,-0.00,0.00,315.20,5.60
07/01/2012 03:00:00,7.55,0.00,-0.00,0.00,322.55,5.63
07/01/2012 04:00:00,7.92,0.00,-0.00,0.00,329.90,5.66
07/01/2012 05:00:00,8.28,0.00,-0.00,0.00,337.25,5.68
07/01/2012 06:00:00,8.56,0.00,-0.00,0.00,339.58,5.73
07/01/2012 07:00:00,8.85,0.00,-0.00,0.00,341.92,5.77
07/01/2012 08:00:00,9.13,4.00,0.00,4.00,344.25,5.82
07/01/2012 09:00:00,9.49,90.00,106.33,72.00,345.63,5.71
07/01/2012 10:00:00,9.84,85.00,3.88,84.00,347.02,5.61
07/01/2012 11:00:00,10.20,154.00,54.95,137.00,348.40,5.50
07/01/2012 12:00:00,10.22,32.00,0.00,32.00,344.63,5.54
07/01/2012 13:00:00,10.24,161.00,93.18,134.00,340.87,5.58
07/01/2012 14:00:00,10.27,18.00,0.00,18.00,337.10,5.61
07/01/2012 15:00:00,9.48,64.00,164.33,45.00,332.38,5.13
07/01/2012 16:00:00,8.70,0.00,-0.00,0.00,327.67,4.64
07/01/2012 17:00:00,7.92,0.00,-0.00,0.00,322.95,4.15
07/01/2012 18:00:00,7.50,0.00,-0.00,0.00,325.25,4.02
07/01/2012 19:00:00,7.08,0.00,-0.00,0.00,327.55,3.89
07/01/2012 20:00:00,6.66,0.00,-0.00,0.00,329.85,3.77
07/01/2012 21:00:00,6.49,0.00,-0.00,0.00,331.50,3.68
07/01/2012 22:00:00,6.32,0.00,-0.00,0.00,333.15,3.59
07/01/2012 23:00:00,6.15,0.00,-0.00,0.00,334.80,3.50
08/01/2012 00:00:00,6.19,0.00,-0.00,0.00,331.45,3.75
08/01/2012 01:00:00,6.22,0.00,-0.00,0.00,328.10,4.00
08/01/2012 02:00:00,6.26,0.00,-0.00,0.00,324.75,4.25
08/01/2012 03:00:00,6.09,0.00,-0.00,0.00,323.77,4.01
08/01/2012 04:00:00,5.93,0.00,-0.00,0.00,322.78,3.78
08/01/2012 05:00:00,5.76,0.00,-0.00,0.00,321.80,3.54
08/01/2012 06:00:00,5.86,0.00,-0.00,0.00,320.08,3.43
08/01/2012 07:00:00,5.95,0.00,-0.00,0.00,318.37,3.31
08/01/2012 08:00:00,6.05,2.00,0.00,2.00,316.65,3.19
08/01/2012 09:00:00,6.66,46.00,0.00,46.00,313.55,3.82
08/01/2012 10:00:00,7.26,61.00,0.00,61.00,310.45,4.45
08/01/2012 11:00:00,7.87,68.00,0.00,68.00,307.35,5.08
08/01/2012 12:00:00,8.04,61.00,0.00,61.00,309.68,4.63
08/01/2012 13:00:00,8.21,96.00,3.42,95.00,312.02,4.19
08/01/2012 14:00:00,8.39,68.00,4.49,67.00,314.35,3.75
08/01/2012 15:00:00,7.87,32.00,0.00,32.00,312.98,3.29
08/01/2012 16:00:00,7.35,0.00,-0.00,0.00,311.62,2.82
08/01/2012 17:00:00,6.83,0.00,-0.00,0.00,310.25,2.36
08/01/2012 18:00:00,6.21,0.00,-0.00,0.00,303.98,2.19
08/01/2012 19:00:00,5.59,0.00,-0.00,0.00,297.72,2.03
08/01/2012 20:00:00,4.98,0.00,-0.00,0.00,291.45,1.86
08/01/2012 21:00:00,4.75,0.00,-0.00,0.00,286.13,1.91
08/01/2012 22:00:00,4.53,0.00,-0.00,0.00,280.82,1.96
08/01/2012 23:00:00,4.30,0.00,-0.00,0.00,275.50,2.01
09/01/2012 00:00:00,4.98,0.00,-0.00,0.00,284.23,2.11
09/01/2012 01:00:00,5.65,0.00,-0.00,0.00,292.97,2.21
09/01/2012 02:00:00,6.32,0.00,-0.00,0.00,301.70,2.30
09/01/2012 03:00:00,6.57,0.00,-0.00,0.00,309.45,2.33
09/01/2012 04:00:00,6.81,0.00,-0.00,0.00,317.20,2.35
09/01/2012 05:00:00,7.06,0.00,-0.00,0.00,324.95,2.37
09/01/2012 06:00:00,7.48,0.00,-0.00,0.00,328.95,2.57
09/01/2012 07:00:00,7.91,0.00,-0.00,0.00,332.95,2.76
09/01/2012 08:00:00,8.33,12.00,0.00,12.00,336.95,2.95
09/01/2012 09:00:00,9.11,92.00,104.65,74.00,337.05,2.90
09/01/2012 10:00:00,9.88,152.00,122.49,120.00,337.15,2.85
09/01/2012 11:00:00,10.66,299.00,724.36,72.00,337.25,2.80
09/01/2012 12:00:00,10.47,291.00,581.85,102.00,327.05,2.76
09/01/2012 13:00:00,10.29,219.00,305.27,129.00,316.85,2.72
09/01/2012 14:00:00,10.11,103.00,44.37,93.00,306.65,2.68
09/01/2012 15:00:00,9.59,36.00,8.24,35.00,302.23,2.69
09/01/2012 16:00:00,9.07,0.00,-0.00,0.00,297.82,2.70
09/01/2012 17:00:00,8.55,0.00,-0.00,0.00,293.40,2.72
09/01/2012 18:00:00,8.49,0.00,-0.00,0.00,299.65,2.70
09/01/2012 19:00:00,8.44,0.00,-0.00,0.00,305.90,2.69
09/01/2012 20:00:00,8.39,0.00,-0.00,0.00,312.15,2.68
09/01/2012 21:00:00,8.24,0.00,-0.00,0.00,312.10,2.67
09/01/2012 22:00:00,8.09,0.00,-0.00,0.00,312.05,2.67
09/01/2012 23:00:00,7.93,0.00,-0.00,0.00,312.00,2.66
10/01/2012 00:00:00,7.83,0.00,-0.00,0.00,307.43,2.54
10/01/2012 01:00:00,7.72,0.00,-0.00,0.00,302.87,2.42
10/01/2012 02:00:00,7.61,0.00,-0.00,0.00,298.30,2.30
10/01/2012 03:00:00,7.49,0.00,-0.00,0.00,297.13,2.10
10/01/2012 04:00:00,7.36,0.00,-0.00,0.00,295.97,1.90
10/01/2012 05:00:00,7.24,0.00,-0.00,0.00,294.80,1.70
10/01/2012 06:00:00,7.50,0.00,-0.00,0.00,300.35,1.79
10/01/2012 07:00:00,7.76,0.00,-0.00,0.00,305.90,1.89
10/01/2012 08:00:00,8.02,13.00,18.89,12.00,311.45,1.99
10/01/2012 09:00:00,8.69,105.00,172.88,75.00,318.72,1.72
10/01/2012 10:00:00,9.36,125.00,49.41,112.00,325.98,1.46
10/01/2012 11:00:00,10.04,118.00,9.51,115.00,333.25,1.20
10/01/2012 12:00:00,10.15,142.00,24.44,134.00,326.77,1.13
10/01/2012 13:00:00,10.27,92.00,0.00,92.00,320.28,1.05
10/01/2012 14:00:00,10.39,54.00,0.00,54.00,313.80,0.98
10/01/2012 15:00:00,9.63,16.00,0.00,16.00,309.97,0.73
10/01/2012 16:00:00,8.87,0.00,-0.00,0.00,306.13,0.47
10/01/2012 17:00:00,8.12,0.00,-0.00,0.00,302.30,0.22
10/01/2012 18:00:00,7.78,0.00,-0.00,0.00,300.87,0.40
10/01/2012 19:00:00,7.44,0.00,-0.00,0.00,299.43,0.59
10/01/2012 20:00:00,7.11,0.00,-0.00,0.00,298.00,0.77
10/01/2012 21:00:00,6.98,0.00,-0.00,0.00,298.12,0.87
10/01/2012 22:00:00,6.85,0.00,-0.00,0.00,298.23,0.97
10/01/2012 23:00:00,6.72,0.00,-0.00,0.00,298.35,1.06
11/01/2012 00:00:00,6.91,0.00,-0.00,0.00,289.05,1.13
11/01/2012 01:00:00,7.09,0.00,-0.00,0.00,279.75,1.19
11/01/2012 02:00:00,7.27,0.00,-0.00,0.00,270.45,1.26
11/01/2012 03:00:00,6.87,0.00,-0.00,0.00,269.42,1.21
11/01/2012 04:00:00,6.47,0.00,-0.00,0.00,268.38,1.17
11/01/2012 05:00:00,6.07,0.00,-0.00,0.00,267.35,1.13
11/01/2012 06:00:00,6.13,0.00,-0.00,0.00,267.77,1.27
11/01/2012 07:00:00,6.19,0.00,-0.00,0.00,268.18,1.42
11/01/2012 08:00:00,6.25,11.00,0.00,11.00,268.60,1.56
11/01/2012 09:00:00,7.62,83.00,62.79,72.00,272.50,1.30
11/01/2012 10:00:00,8.99,115.00,30.18,107.00,276.40,1.04
11/01/2012 11:00:00,10.37,109.00,3.15,108.00,280.30,0.79
11/01/2012 12:00:00,10.18,135.00,15.16,130.00,273.50,0.62
11/01/2012 13:00:00,9.99,169.00,99.89,139.00,266.70,0.46
11/01/2012 14:00:00,9.80,180.00,402.16,87.00,259.90,0.29
11/01/2012 15:00:00,8.88,78.00,227.73,49.00,253.27,0.77
11/01/2012 16:00:00,7.96,0.00,-0.00,0.00,246.63,1.25
11/01/2012 17:00:00,7.04,0.00,-0.00,0.00,240.00,1.72
11/01/2012 18:00:00,5.45,0.00,-0.00,0.00,237.42,1.90
11/01/2012 19:00:00,3.86,0.00,-0.00,0.00,234.83,2.07
11/01/2012 20:00:00,2.27,0.00,-0.00,0.00,232.25,2.25
11/01/2012 21:00:00,1.40,0.00,-0.00,0.00,231.35,2.09
11/01/2012 22:00:00,0.54,0.00,-0.00,0.00,230.45,1.94
11/01/2012 23:00:00,-0.33,0.00,-0.00,0.00,229.55,1.78
12/01/2012 00:00:00,-0.17,0.00,-0.00,0.00,229.45,1.80
12/01/2012 01:00:00,-0.02,0.00,-0.00,0.00,229.35,1.82
12/01/2012 02:00:00,0.14,0.00,-0.00,0.00,229.25,1.83
12/01/2012 03:00:00,0.05,0.00,-0.00,0.00,231.63,1.74
12/01/2012 04:00:00,-0.04,0.00,-0.00,0.00,234.02,1.65
12/01/2012 05:00:00,-0.13,0.00,-0.00,0.00,236.40,1.56
12/01/2012 06:00:00,0.50,0.00,-0.00,0.00,251.68,1.82
12/01/2012 07:00:00,1.12,0.00,-0.00,0.00,266.97,2.07
12/01/2012 08:00:00,1.75,14.00,0.00,14.00,282.25,2.33
12/01/2012 09:00:00,3.43,83.00,62.16,72.00,290.63,2.55
12/01/2012 10:00:00,5.10,236.00,587.63,79.00,299.02,2.77
12/01/2012 11:00:00,6.78,178.00,90.56,149.00,307.40,2.99
12/01/2012 12:00:00,7.35,288.00,511.22,118.00,304.10,3.13
12/01/2012 13:00:00,7.92,190.00,158.29,142.00,300.80,3.26
12/01/2012 14:00:00,8.49,188.00,448.10,83.00,297.50,3.39
12/01/2012 15:00:00,8.33,61.00,76.63,51.00,288.12,3.35
12/01/2012 16:00:00,8.18,0.00,-0.00,0.00,278.73,3.30
12/01/2012 17:00:00,8.03,0.00,-0.00,0.00,269.35,3.26
12/01/2012 18:00:00,8.14,0.00,-0.00,0.00,279.77,3.36
12/01/2012 19:00:00,8.26,0.00,-0.00,0.00,290.18,3.47
12/01/2012 20:00:00,8.38,0.00,-0.00,0.00,300.60,3.57
12/01/2012 21:00:00,8.35,0.00,-0.00,0.00,312.72,3.24
12/01/2012 22:00:00,8.32,0.00,-0.00,0.00,324.83,2.90
12/01/2012 23:00:00,8.28,0.00,-0.00,0.00,336.95,2.57
13/01/2012 00:00:00,7.52,0.00,-0.00,0.00,333.35,2.35
13/01/2012 01:00:00,6.75,0.00,-0.00,0.00,329.75,2.14
13/01/2012 02:00:00,5.99,0.00,-0.00,0.00,326.15,1.93
13/01/2012 03:00:00,5.87,0.00,-0.00,0.00,327.85,1.65
13/01/2012 04:00:00,5.75,0.00,-0.00,0.00,329.55,1.36
13/01/2012 05:00:00,5.63,0.00,-0.00,0.00,331.25,1.08
13/01/2012 06:00:00,5.56,0.00,-0.00,0.00,330.38,1.39
13/01/2012 07:00:00,5.48,0.00,-0.00,0.00,329.52,1.71
13/01/2012 08:00:00,5.41,24.00,104.66,18.00,328.65,2.03
13/01/2012 09:00:00,5.85,118.00,246.01,74.00,325.02,2.11
13/01/2012 10:00:00,6.28,210.00,378.64,108.00,321.38,2.20
13/01/2012 11:00:00,6.72,312.00,759.09,67.00,317.75,2.29
13/01/2012 12:00:00,6.56,334.00,829.04,56.00,306.02,2.57
13/01/2012 13:00:00,6.40,227.00,303.68,134.00,294.28,2.85
13/01/2012 14:00:00,6.24,165.00,265.27,102.00,282.55,3.13
13/01/2012 15:00:00,4.99,69.00,119.62,53.00,272.78,3.04
13/01/2012 16:00:00,3.75,0.00,0.00,0.00,263.02,2.96
13/01/2012 17:00:00,2.51,0.00,-0.00,0.00,253.25,2.87
13/01/2012 18:00:00,1.90,0.00,-0.00,0.00,248.50,2.42
13/01/2012 19:00:00,1.29,0.00,-0.00,0.00,243.75,1.98
13/01/2012 20:00:00,0.68,0.00,-0.00,0.00,239.00,1.53
13/01/2012 21:00:00,0.07,0.00,-0.00,0.00,235.60,1.83
13/01/2012 22:00:00,-0.53,0.00,-0.00,0.00,232.20,2.13
13/01/2012 23:00:00,-1.14,0.00,-0.00,0.00,228.80,2.43
14/01/2012 00:00:00,-0.93,0.00,-0.00,0.00,228.48,2.33
14/01/2012 01:00:00,-0.73,0.00,-0.00,0.00,228.17,2.23
14/01/2012 02:00:00,-0.52,0.00,-0.00,0.00,227.85,2.14
14/01/2012 03:00:00,-0.88,0.00,-0.00,0.00,226.12,2.06
14/01/2012 04:00:00,-1.24,0.00,-0.00,0.00,224.38,1.97
14/01/2012 05:00:00,-1.60,0.00,-0.00,0.00,222.65,1.89
14/01/2012 06:00:00,-1.44,0.00,-0.00,0.00,221.93,2.11
14/01/2012 07:00:00,-1.28,0.00,-0.00,0.00,221.22,2.32
14/01/2012 08:00:00,-1.12,25.00,84.70,20.00,220.50,2.54
14/01/2012 09:00:00,0.42,146.00,508.68,54.00,221.90,2.52
14/01/2012 10:00:00,1.96,243.00,614.62,76.00,223.30,2.50
14/01/2012 11:00:00,3.51,298.00,626.95,94.00,224.70,2.48
14/01/2012 12:00:00,3.76,317.00,671.14,90.00,225.82,2.95
14/01/2012 13:00:00,4.01,290.00,694.98,75.00,226.93,3.41
14/01/2012 14:00:00,4.27,202.00,515.04,78.00,228.05,3.88
14/01/2012 15:00:00,3.12,84.00,218.84,54.00,226.98,3.37
14/01/2012 16:00:00,1.98,0.00,0.00,0.00,225.92,2.86
14/01/2012 17:00:00,0.84,0.00,-0.00,0.00,224.85,2.36
14/01/2012 18:00:00,0.37,0.00,-0.00,0.00,224.33,2.36
14/01/2012 19:00:00,-0.10,0.00,-0.00,0.00,223.82,2.36
14/01/2012 20:00:00,-0.56,0.00,-0.00,0.00,223.30,2.36
14/01/2012 21:00:00,-0.84,0.00,-0.00,0.00,222.38,2.51
14/01/2012 22:00:00,-1.12,0.00,-0.00,0.00,221.47,2.67
14/01/2012 23:00:00,-1.40,0.00,-0.00,0.00,220.55,2.83
15/01/2012 00:00:00,-1.36,0.00,-0.00,0.00,220.20,2.73
15/01/2012 01:00:00,-1.33,0.00,-0.00,0.00,219.85,2.63
15/01/2012 02:00:00,-1.29,0.00,-0.00,0.00,219.50,2.52
15/01/2012 03:00:00,-1.46,0.00,-0.00,0.00,218.87,2.56
15/01/2012 04:00:00,-1.64,0.00,-0.00,0.00,218.23,2.60
15/01/2012 05:00:00,-1.81,0.00,-0.00,0.00,217.60,2.63
15/01/2012 06:00:00,-1.38,0.00,-0.00,0.00,217.92,2.88
15/01/2012 07:00:00,-0.96,0.00,-0.00,0.00,218.23,3.12
15/01/2012 08:00:00,-0.53,33.00,230.09,19.00,218.55,3.37
15/01/2012 09:00:00,0.79,152.00,546.48,52.00,221.47,3.67
15/01/2012 10:00:00,2.11,248.00,638.33,73.00,224.38,3.97
15/01/2012 11:00:00,3.44,307.00,676.56,85.00,227.30,4.28
15/01/2012 12:00:00,3.69,324.00,697.47,86.00,228.47,4.26
15/01/2012 13:00:00,3.94,304.00,783.80,59.00,229.63,4.25
15/01/2012 14:00:00,4.19,213.00,589.89,69.00,230.80,4.23
15/01/2012 15:00:00,3.25,91.00,270.45,53.00,229.98,4.17
15/01/2012 16:00:00,2.32,0.00,0.00,0.00,229.17,4.11
15/01/2012 17:00:00,1.39,0.00,-0.00,0.00,228.35,4.04
15/01/2012 18:00:00,1.01,0.00,-0.00,0.00,227.43,3.97
15/01/2012 19:00:00,0.64,0.00,-0.00,0.00,226.52,3.89
15/01/2012 20:00:00,0.27,0.00,-0.00,0.00,225.60,3.82
15/01/2012 21:00:00,-0.10,0.00,-0.00,0.00,224.37,4.00
15/01/2012 22:00:00,-0.47,0.00,-0.00,0.00,223.13,4.17
15/01/2012 23:00:00,-0.85,0.00,-0.00,0.00,221.90,4.34
16/01/2012 00:00:00,-0.79,0.00,-0.00,0.00,220.82,4.28
16/01/2012 01:00:00,-0.74,0.00,-0.00,0.00,219.73,4.22
